
group,index,glyph,code_point,unicode_name
2,33,⠡,U+2821,BRAILLE PATTERN DOTS-16
2,34,⠢,U+2822,BRAILLE PATTERN DOTS-26
2,35,⠣,U+2823,BRAILLE PATTERN DOTS-126
2,36,⠤,U+2824,BRAILLE PATTERN DOTS-36
2,37,⠥,U+2825,BRAILLE PATTERN DOTS-136
2,38,⠦,U+2826,BRAILLE PATTERN DOTS-236
2,39,⠧,U+2827,BRAILLE PATTERN DOTS-1236
2,40,⠨,U+2828,BRAILLE PATTERN DOTS-46
2,41,⠩,U+2829,BRAILLE PATTERN DOTS-146
2,42,⠪,U+282A,BRAILLE PATTERN DOTS-246
2,43,⠫,U+282B,BRAILLE PATTERN DOTS-1246
2,44,⠬,U+282C,BRAILLE PATTERN DOTS-346
2,45,⠭,U+282D,BRAILLE PATTERN DOTS-1346
2,46,⠮,U+282E,BRAILLE PATTERN DOTS-2346
2,47,⠯,U+282F,BRAILLE PATTERN DOTS-12346
2,48,⠰,U+2830,BRAILLE PATTERN DOTS-56
2,49,⠱,U+2831,BRAILLE PATTERN DOTS-156
2,50,⠲,U+2832,BRAILLE PATTERN DOTS-256
2,51,⠳,U+2833,BRAILLE PATTERN DOTS-1256
2,52,⠴,U+2834,BRAILLE PATTERN DOTS-356
2,53,⠵,U+2835,BRAILLE PATTERN DOTS-1356
2,54,⠶,U+2836,BRAILLE PATTERN DOTS-2356
2,55,⠷,U+2837,BRAILLE PATTERN DOTS-12356
2,56,⠸,U+2838,BRAILLE PATTERN DOTS-456
2,57,⠹,U+2839,BRAILLE PATTERN DOTS-1456
2,58,⠺,U+283A,BRAILLE PATTERN DOTS-2456
2,59,⠻,U+283B,BRAILLE PATTERN DOTS-12456
2,60,⠼,U+283C,BRAILLE PATTERN DOTS-3456
2,61,⠽,U+283D,BRAILLE PATTERN DOTS-13456
2,62,⠾,U+283E,BRAILLE PATTERN DOTS-23456
2,63,⠿,U+283F,BRAILLE PATTERN DOTS-123456
2,64,⡀,U+2840,BRAILLE PATTERN DOTS-7
2,65,⡁,U+2841,BRAILLE PATTERN DOTS-17
2,66,⡂,U+2842,BRAILLE PATTERN DOTS-27
2,67,⡃,U+2843,BRAILLE PATTERN DOTS-127
2,68,⡄,U+2844,BRAILLE PATTERN DOTS-37
2,69,⡅,U+2845,BRAILLE PATTERN DOTS-137
2,70,⡆,U+2846,BRAILLE PATTERN DOTS-237
2,71,⡇,U+2847,BRAILLE PATTERN DOTS-1237
2,72,⡈,U+2848,BRAILLE PATTERN DOTS-47
2,73,⡉,U+2849,BRAILLE PATTERN DOTS-147
2,74,⡊,U+284A,BRAILLE PATTERN DOTS-247
2,75,⡋,U+284B,BRAILLE PATTERN DOTS-1247
2,76,⡌,U+284C,BRAILLE PATTERN DOTS-347
2,77,⡍,U+284D,BRAILLE PATTERN DOTS-1347
2,78,⡎,U+284E,BRAILLE PATTERN DOTS-2347
2,79,⡏,U+284F,BRAILLE PATTERN DOTS-12347
2,80,⡐,U+2850,BRAILLE PATTERN DOTS-57
2,81,⡑,U+2851,BRAILLE PATTERN DOTS-157
2,82,⡒,U+2852,BRAILLE PATTERN DOTS-257
2,83,⡓,U+2853,BRAILLE PATTERN DOTS-1257
2,84,⡔,U+2854,BRAILLE PATTERN DOTS-357
2,85,⡕,U+2855,BRAILLE PATTERN DOTS-1357
2,86,⡖,U+2856,BRAILLE PATTERN DOTS-2357
2,87,⡗,U+2857,BRAILLE PATTERN DOTS-12357
2,88,⡘,U+2858,BRAILLE PATTERN DOTS-457
2,89,⡙,U+2859,BRAILLE PATTERN DOTS-1457
2,90,⡚,U+285A,BRAILLE PATTERN DOTS-2457
2,91,⡛,U+285B,BRAILLE PATTERN DOTS-12457
2,92,⡜,U+285C,BRAILLE PATTERN DOTS-3457
2,93,⡝,U+285D,BRAILLE PATTERN DOTS-13457
2,94,⡞,U+285E,BRAILLE PATTERN DOTS-23457
2,95,⡟,U+285F,BRAILLE PATTERN DOTS-123457
2,96,⡠,U+2860,BRAILLE PATTERN DOTS-67
2,97,⡡,U+2861,BRAILLE PATTERN DOTS-167
2,98,⡢,U+2862,BRAILLE PATTERN DOTS-267
2,99,⡣,U+2863,BRAILLE PATTERN DOTS-1267
2,100,⡤,U+2864,BRAILLE PATTERN DOTS-367
2,101,⡥,U+2865,BRAILLE PATTERN DOTS-1367
2,102,⡦,U+2866,BRAILLE PATTERN DOTS-2367
2,103,⡧,U+2867,BRAILLE PATTERN DOTS-12367
2,104,⡨,U+2868,BRAILLE PATTERN DOTS-467
2,105,⡩,U+2869,BRAILLE PATTERN DOTS-1467
2,106,⡪,U+286A,BRAILLE PATTERN DOTS-2467
2,107,⡫,U+286B,BRAILLE PATTERN DOTS-12467
2,108,⡬,U+286C,BRAILLE PATTERN DOTS-3467
2,109,⡭,U+286D,BRAILLE PATTERN DOTS-13467
2,110,⡮,U+286E,BRAILLE PATTERN DOTS-23467
3,0,✶,U+2736,SIX POINTED BLACK STAR
3,1,✷,U+2737,EIGHT POINTED RECTILINEAR BLACK STAR
3,2,✸,U+2738,HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
3,3,✹,U+2739,TWELVE POINTED BLACK STAR
3,4,✺,U+273A,SIXTEEN POINTED ASTERISK
3,5,✻,U+273B,TEARDROP-SPOKED ASTERISK
3,6,✼,U+273C,OPEN CENTRE TEARDROP-SPOKED ASTERISK
